date,open,high,low,close,volume,barCount,WAP
2024-07-15,8.53,9.04,8.45,8.95,4948547.0,15800,
2024-07-16,9.0,9.05,8.63,9.03,4193793.0,13903,
2024-07-17,8.68,8.91,8.36,8.56,3443918.0,11913,
2024-07-18,8.63,8.84,8.08,8.21,3758346.0,12635,
2024-07-19,8.07,8.08,7.37,7.43,5081380.0,18360,
2024-07-22,7.68,8.08,7.54,8.08,3418586.0,12509,
2024-07-23,7.97,8.38,7.91,8.3,2882554.0,10190,
2024-07-24,8.14,8.37,7.62,7.62,3655216.0,12549,
2024-07-25,7.57,8.16,7.48,7.93,3138250.0,11304,
2024-07-26,8.12,8.27,7.82,8.21,3321006.0,10861,
2024-07-29,8.34,8.44,7.8,7.89,2625558.0,9349,
2024-07-30,7.94,8.0,7.61,7.8,2200959.0,7983,
2024-07-31,7.98,8.47,7.92,8.15,3251004.0,12425,
2024-08-01,8.03,8.1,7.38,7.52,3719149.0,13985,
2024-08-02,7.01,7.27,6.94,7.08,3629988.0,13315,
2024-08-05,6.27,6.93,6.22,6.57,5032516.0,19162,
2024-08-06,6.84,7.35,6.58,7.21,5102375.0,18358,
2024-08-07,7.34,7.37,6.78,6.8,4504371.0,16439,
2024-08-08,7.24,7.28,6.89,7.11,5073282.0,17334,
2024-08-09,7.2,7.52,6.94,7.12,3077438.0,11433,
2024-08-12,7.13,7.21,6.68,6.72,3884573.0,13361,
2024-08-13,6.85,7.32,6.77,7.28,3113542.0,10565,
2024-08-14,7.38,7.44,7.06,7.31,2372599.0,7676,
2024-08-15,7.43,7.66,7.39,7.42,2665934.0,9232,
2024-08-16,7.36,7.53,7.24,7.28,1907757.0,5931,
2024-08-19,7.32,7.33,7.13,7.29,1940192.0,5750,
2024-08-20,7.27,7.37,7.08,7.21,1838651.0,5313,
2024-08-21,7.3,7.79,7.25,7.77,3459374.0,11300,
2024-08-22,7.7,7.76,7.3,7.31,3097231.0,9925,
2024-08-23,7.37,7.68,7.34,7.38,3384906.0,12859,
2024-08-26,7.5,7.65,7.39,7.51,2703343.0,7854,
2024-08-27,7.41,7.47,7.1,7.28,2879767.0,10230,
2024-08-28,7.26,7.35,6.91,7.01,2797533.0,8657,
2024-08-29,7.23,7.54,7.18,7.32,2386462.0,8843,
2024-08-30,7.44,7.54,7.33,7.42,1802388.0,5558,
2024-09-03,7.3,7.37,6.94,6.96,3443540.0,10879,
2024-09-04,6.89,7.14,6.78,7.01,2465804.0,7829,
2024-09-05,7.03,7.24,6.98,7.04,1484919.0,4855,
2024-09-06,7.06,7.11,6.71,6.8,2916462.0,8261,
2024-09-09,6.95,7.0,6.55,6.62,3093014.0,8413,
2024-09-10,6.7,6.97,6.54,6.9,2928124.0,7882,
2024-09-11,6.87,7.31,6.8,7.23,3152698.0,10045,
2024-09-12,7.21,7.43,7.09,7.38,3010126.0,9661,
2024-09-13,7.4,7.83,7.4,7.76,3446124.0,10683,
2024-09-16,7.7,7.86,7.4,7.82,3099904.0,8920,
2024-09-17,7.92,8.25,7.87,8.12,3709176.0,10492,
2024-09-18,8.08,8.27,7.76,7.83,4051503.0,12656,
